seq,dim,avg_duration,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,fma_all_ops,fma_all_cycle,fma_sm_max_ops,fma_sm_max_cycle,xu_all_ops,xu_all_cycle,xu_sm_max_ops,xu_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf
18,25600,4.9108,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,253440.0,36.66666666666666,14080.0,220.0,87552.0,50.66666666666666,4864.0,304.0,900.0,593.5208272125761,374.0997550292214,50.0,3561.124963275457,400.0,2244.5985301753285,0.0126127177402785
24,22016,4.45,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,295680.0,42.77777777777778,12320.0,192.5,102144.0,59.11111111111112,4256.0,266.0,1032.0,680.5705485370873,428.9677191001739,43.0,3062.567468416893,344.0,1930.3547359507827,0.0162385670394276
10881,4480,86.6326,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,10772190.0,1558.4765625,99990.0,1562.34375,3721302.0,2153.53125,34542.0,2158.875,95208.75,62787.0845087504,39575.07783515376,883.75,62942.8837258937,7070.0,39673.27902084893,0.0303884410055258
3585,6400,41.3142,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,4929375.0,713.1618923611111,46750.0,730.46875,1702875.0,985.4600694444443,16150.0,1009.375,44812.5,29552.39118829285,18627.05030249665,425.0,30269.56218784138,3400.0,19079.08750649029,0.0291593792645737
189,9216,3.9122,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,1995840.0,288.75,21120.0,330.0,689472.0,399.0,7296.0,456.0,3402.0,2243.508726863537,1414.097074010457,36.0,2564.009973558329,288.0,1616.1109417262364,0.1246781753097511
88065,28672,4408.7342,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,1239955200.0,179391.66666666666,11489280.0,179520.0,428348160.0,247886.66666666663,3969024.0,248064.0,4931640.0,3252256.7247940325,2049917.017658122,45696.0,3254583.326436706,365568.0,2051383.488697836,0.0687349849668439
54273,29568,2851.5152,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,764163840.0,110556.11111111112,7082240.0,110660.0,263983872.0,152768.44444444444,2446592.0,152912.0,3134265.75,2066946.667382273,1302808.9436349766,29048.25,2068888.964289326,232386.0,1304033.18508331,0.0654932521278898
88,14784,3.778,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,929280.0,134.44444444444446,10560.0,165.0,321024.0,185.77777777777777,3648.0,228.0,2541.0,1675.70713549684,1056.2083083658351,28.875,2056.549666291576,231.0,1296.2556511762525,0.0601132766074252
32769,8192,467.4344,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,57673440.0,8343.958333333334,535040.0,8360.0,19923552.0,11529.833333333334,184832.0,11552.0,524304.0,345761.4931009584,217935.55328982323,4864.0,346426.23642743647,38912.0,218354.545015456,0.0301537236173798
18945,19456,646.6551999999999,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,233402400.0,33767.708333333336,2168320.0,33880.0,80629920.0,46660.833333333336,749056.0,46816.0,719910.0,474757.3096873397,299242.3940478742,6688.0,476336.0750877251,53504.0,300237.4993962519,0.0882100985386486
12,6400,2.543,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,16500.0,2.3871527777777777,1375.0,21.484375,5700.0,3.298611111111111,475.0,29.6875,150.0,98.9201378687627,62.34995917153691,12.5,890.2812408188644,100.0,561.1496325438321,0.0015857084776981
108,26624,5.819599999999999,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,1520640.0,220.0,14080.0,220.0,525312.0,304.0,4864.0,304.0,5616.0,3703.569961806476,2334.382471382342,52.0,3703.569961806476,416.0,2334.382471382342,0.0638585479541135
108033,6912,1250.7977999999998,NVIDIA A100-SXM4-80GB,2048,16,64,108,1410,2039.04,3235,128,160429005.0,23210.21484375,1486485.0,23226.328125,55420929.0,32072.296875,513513.0,32094.5625,1458445.5,961797.5328938436,606226.7825260782,13513.5,962465.2438244576,108108.0,606647.644750486,0.0313459578516054
